Census year,CLUE small area,Trading name,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude
2021,Melbourne (CBD),Desi Dhaba,Cafes and Restaurants,Seats - Indoor,90,144.9704315,-37.81629901
2021,Melbourne (CBD),A Hereford Beefstouw,Cafes and Restaurants,Seats - Indoor,125,144.9713705,-37.81593736
2021,Melbourne (CBD),Tom Thumb Espresso,Cafes and Restaurants,Seats - Indoor,15,144.9728353,-37.8148555
2021,Melbourne (CBD),Ms Collins,"Pubs, Taverns and Bars",Seats - Indoor,100,144.9606527,-37.81752824
2021,Melbourne (CBD),O-Bento,Cafes and Restaurants,Seats - Outdoor,8,144.9627911,-37.81729659
2021,Melbourne (CBD),Bistro Du Peuple,Cafes and Restaurants,Seats - Indoor,22,144.963914,-37.81718534
2021,Melbourne (CBD),Robot Sushi & Bar,Cafes and Restaurants,Seats - Outdoor,12,144.963914,-37.81718534
2021,Melbourne (CBD),Eurolane Cafe,Cafes and Restaurants,Seats - Outdoor,6,144.9655965,-37.8166029
2021,Melbourne (CBD),Jungle Juice Bar,Takeaway Food Services,Seats - Indoor,16,144.9655965,-37.8166029
2021,Melbourne (CBD),Aix Cafe Creperie Salon,Cafes and Restaurants,Seats - Outdoor,8,144.9655965,-37.8166029
2021,Melbourne (CBD),Hell’s Kitchen,"Pubs, Taverns and Bars",Seats - Indoor,55,144.9655965,-37.8166029
2021,Melbourne (CBD),Three Drops Espresso,Cafes and Restaurants,Seats - Outdoor,25,144.9663262,-37.81584039
2021,Melbourne (CBD),Om Vegetarian,Cafes and Restaurants,Seats - Indoor,48,144.9663262,-37.81584039
2021,Melbourne (CBD),Ganache Chocolate Lounge,Cafes and Restaurants,Seats - Outdoor,16,144.9658295,-37.81606184
2021,Melbourne (CBD),Laneway Greens,Takeaway Food Services,Seats - Indoor,6,144.9659636,-37.81649322
2021,Melbourne (CBD),Box Seafood Restaurant,Cafes and Restaurants,Seats - Outdoor,20,144.9677066,-37.81546686
2021,Melbourne (CBD),No35,Cafes and Restaurants,Seats - Indoor,200,144.9726256,-37.81430518
2021,Melbourne (CBD),Southern Xross Kebabs,Takeaway Food Services,Seats - Indoor,12,144.9543508,-37.81867521
2021,Melbourne (CBD),Chick-In,Cafes and Restaurants,Seats - Indoor,32,144.9543508,-37.81867521
2021,Melbourne (CBD),In Zone Cafe,Cafes and Restaurants,Seats - Outdoor,4,144.9543648,-37.81818416
2021,Melbourne (CBD),Fourteen On 3,Cafes and Restaurants,Seats - Indoor,66,144.9568113,-37.81770351
2021,Melbourne (CBD),Oaks On Collins,Accommodation,Seats - Indoor,80,144.9579531,-37.81765021
2021,Melbourne (CBD),Oli & Levi,Takeaway Food Services,Seats - Indoor,5,144.9594432,-37.81730452
2021,Melbourne (CBD),Macchiato On Collins,Cafes and Restaurants,Seats - Indoor,34,144.9594432,-37.81730452
2021,Melbourne (CBD),Mr Ashcroft,Cafes and Restaurants,Seats - Outdoor,20,144.9600973,-37.81639571
2021,Melbourne (CBD),Korean Healthy Food BBQ Box,Cafes and Restaurants,Seats - Outdoor,14,144.95955,-37.81660736
2021,Melbourne (CBD),Aki Sushi,Cafes and Restaurants,Seats - Indoor,70,144.9608119,-37.8161549
2021,Melbourne (CBD),Cafenatics Equitable Place,Cafes and Restaurants,Seats - Outdoor,28,144.9634107,-37.81610875
2021,Melbourne (CBD),Oh Banh Mi,Takeaway Food Services,Seats - Outdoor,12,144.9633005,-37.81557752
2021,Melbourne (CBD),B'Cos Brazil,Cafes and Restaurants,Seats - Outdoor,14,144.9629953,-37.81569828
2021,Melbourne (CBD),11 Inch Pizza,Takeaway Food Services,Seats - Outdoor,4,144.9629953,-37.81569828
2021,Melbourne (CBD),Hudsons Elizabeth Street,Cafes and Restaurants,Seats - Indoor,31,144.9641821,-37.81591295
2021,Melbourne (CBD),Polepole Bar & Kitchen/Glamp,"Pubs, Taverns and Bars",Seats - Indoor,70,144.9656017,-37.81483198
2021,Melbourne (CBD),The Alley Edition,Takeaway Food Services,Seats - Indoor,6,144.9652255,-37.81507423
2021,Melbourne (CBD),The George on Collins,"Pubs, Taverns and Bars",Seats - Indoor,150,144.9678477,-37.81450292
2021,Melbourne (CBD),Rockpool Events & Catering,Cafes and Restaurants,Seats - Indoor,185,144.9699104,-37.81401282
2021,Melbourne (CBD),Elements Catering,Cafes and Restaurants,Seats - Indoor,50,144.9693157,-37.81400035
2021,Melbourne (CBD),Garcon Paris Steakhouse,Cafes and Restaurants,Seats - Indoor,65,144.9702869,-37.81401768
2021,Melbourne (CBD),Garcon Paris Steakhouse,Cafes and Restaurants,Seats - Outdoor,8,144.9702869,-37.81401768
2021,Melbourne (CBD),The Melbourne Club,Clubs (Hospitality),Seats - Indoor,137,144.9721131,-37.81324883
2021,Melbourne (CBD),Lupino,Cafes and Restaurants,Seats - Indoor,60,144.9723924,-37.8127995
2021,Melbourne (CBD),Code Black Spencer St,Takeaway Food Services,Seats - Indoor,4,144.9539297,-37.81777223
2021,Melbourne (CBD),Axil Coffee Roasters,Cafes and Restaurants,Seats - Indoor,75,144.9570178,-37.81647456
2021,Melbourne (CBD),Origins Cafe Shop Pty Ltd,Cafes and Restaurants,Seats - Indoor,16,144.95711,-37.81687975
2021,Melbourne (CBD),RACV City Club / Royal Automobile Club Of Victoria (RACV) Limited,Accommodation,Seats - Indoor,610,144.9595844,-37.81588562
2021,Melbourne (CBD),Chancery Lane,Cafes and Restaurants,Seats - Indoor,300,144.9601098,-37.81596941
2021,Melbourne (CBD),The Turf Bar & Restaurant,"Pubs, Taverns and Bars",Seats - Indoor,60,144.9605336,-37.81549538
2021,Melbourne (CBD),Starbucks,Cafes and Restaurants,Seats - Indoor,50,144.9629215,-37.81492944
2021,Melbourne (CBD),The Commercial Bakery,Cafes and Restaurants,Seats - Indoor,70,144.9626385,-37.81528018
2021,Melbourne (CBD),Little Cupcakes,Other Specialised Food Retailing,Seats - Indoor,16,144.9612981,-37.81565458
